year      msl_ib_ns(mm) #version_2015_rel2
2004.6060   30.213
2004.6332   31.944
2004.6603   33.914
2004.6874   38.795
2004.7146   39.054
2004.7417   29.323
2004.7689   30.992
2004.7960   30.720
2004.8232   32.614
2004.8503   35.760
2004.8775   35.617
2004.9046   29.439
2004.9318   30.321
2004.9589   33.447
2004.9861   42.391
2005.0132   36.016
2005.0404   33.156
2005.0675   33.256
2005.0947   32.125
2005.1218   34.871
2005.1490   38.288
2005.1761   43.796
2005.2033   41.497
2005.2304   29.760
2005.2576   30.494
2005.2847   39.011
2005.3119   35.667
2005.3390   37.437
2005.3662   38.432
2005.3933   35.057
2005.4204   33.977
2005.4476   35.846
2005.4747   40.287
2005.5019   40.270
2005.5290   38.372
2005.5562   33.976
2005.5833   37.386
2005.6105   34.531
2005.6376   36.513
2005.6648   40.327
2005.6919   36.438
2005.7734   36.750
2005.8005   38.238
2005.8277   38.673
2005.8548   40.573
2005.8820   39.607
2005.9091   39.121
2005.9363   38.252
2005.9634   42.833
2005.9906   42.022
2006.0177   34.920
2006.0449   33.051
2006.0720   35.496
2006.0992   37.377
2006.1263   39.798
2006.1534   39.271
2006.1806   39.790
2006.2077   31.129
2006.2349   32.347
2006.2620   37.190
2006.2892   39.284
2006.3163   36.098
2006.3435   33.924
2006.3706   36.485
2006.3978   39.560
2006.4249   37.747
2006.4521   41.102
2006.4792   42.660
2006.5064   39.918
2006.5335   37.245
2006.5607   39.414
2006.5878   42.133
2006.6150   38.332
2006.6421   39.661
2006.6693   38.412
2006.6964   37.625
2006.7236   38.500
2006.7507   40.421
2006.7779   42.603
2006.8050   42.843
2006.8864   39.739
2006.9136   37.942
2006.9407   45.260
2006.9679   42.091
2006.9950   36.713
2007.0222   33.873
2007.0493   31.887
2007.0765   39.598
2007.1036   40.276
2007.1308   38.291
2007.1579   39.852
2007.1851   33.755
2007.2122   34.891
2007.2394   40.301
2007.2665   45.194
2007.2937   41.928
2007.3208   37.635
2007.3480   31.741
2007.3751   37.606
2007.4023   41.650
2007.4294   41.351
2007.4566   39.923
2007.4837   36.987
2007.5109   34.240
2007.5380   36.178
2007.5651   37.813
2007.5923   39.362
2007.6194   39.872
2007.6466   33.321
2007.6737   30.456
2007.7009   35.094
2007.7280   39.917
2007.7552   41.151
2007.7823   38.395
2007.8095   36.094
2007.8366   34.622
2007.8638   40.161
2007.8909   45.064
2007.9181   43.596
2007.9452   41.739
2007.9724   33.547
2007.9995   33.442
2008.0267   37.931
2008.0538   43.468
2008.0810   43.161
2008.1081   35.051
2008.1353   36.126
2008.1624   34.481
2008.1896   39.613
2008.2167   42.747
2008.2439   42.549
2008.2710   39.433
2008.2981   38.319
2008.3253   34.752
2008.3796   47.734
2008.4067   47.018
2008.4339   44.178
2008.4610   42.586
2008.4882   43.680
2008.5153   44.524
2008.5425   46.044
2008.5696   44.467
2008.5968   40.789
2008.6239   40.058
2008.6511   39.111
2008.6782   41.943
2008.7054   41.668
2008.7325   43.518
2008.7597   41.847
2008.7868   39.684
2008.8140   41.257
2008.8411   43.062
2008.8683   46.017
2008.8954   43.723
2008.9226   45.242
2008.9497   40.793
2008.9769   40.079
2009.0040   41.273
2009.0311   44.988
2009.0583   46.683
2009.0854   39.889
2009.1126   36.979
2009.1397   43.305
2009.1669   46.849
2009.1940   48.000
2009.2212   47.918
2009.2483   44.342
2009.2755   41.895
2009.3026   43.576
2009.3298   47.313
2009.3569   50.822
2009.3841   45.042
2009.4112   40.468
2009.4384   43.004
2009.4655   45.169
2009.4927   45.717
2009.5198   44.673
2009.5470   45.338
2009.5741   47.474
2009.6013   42.083
2009.6284   43.232
2009.6556   49.038
2009.6827   50.506
2009.7099   50.855
2009.7370   47.365
2009.7642   45.544
2009.7913   47.685
2009.8184   52.336
2009.8456   54.538
2009.8727   48.978
2009.8999   47.605
2009.9270   45.401
2009.9542   47.678
2009.9813   53.142
2010.0085   49.536
2010.0356   46.686
2010.0628   44.267
2010.0899   40.904
2010.1171   47.728
2010.1442   53.985
2010.1714   55.642
2010.1985   46.863
2010.2257   44.525
2010.2528   45.186
2010.2800   49.098
2010.3071   51.312
2010.3343   52.597
2010.3614   47.776
2010.3886   48.005
2010.4157   47.149
2010.4429   51.652
2010.4700   54.458
2010.4971   53.484
2010.5243   48.093
2010.5514   47.763
2010.5786   47.145
2010.6057   45.592
2010.6329   51.782
2010.6600   45.626
2010.6872   43.728
2010.7143   42.084
2010.7415   41.268
2010.7686   43.360
2010.7958   50.165
2010.8229   48.586
2010.8501   44.281
2010.8772   41.655
2010.9044   39.390
2010.9315   45.394
2010.9587   46.572
2010.9858   46.239
2011.0130   43.566
2011.0401   40.867
2011.0673   40.210
2011.0944   44.603
2011.1216   47.179
2011.1487   47.204
2011.1759   41.495
2011.2030   38.762
2011.2301   39.638
2011.2573   44.347
2011.2844   45.565
2011.3116   45.436
2011.3387   39.950
2011.3659   41.693
2011.3930   43.279
2011.4202   45.798
2011.4473   50.622
2011.4745   50.851
2011.5016   45.232
2011.5288   44.625
2011.5559   46.036
2011.5831   48.299
2011.6102   54.525
2011.6374   51.543
2011.6645   48.207
2011.6917   46.660
2011.7188   46.284
2011.7460   48.924
2011.7731   53.569
2011.8003   53.828
2011.8274   46.806
2011.8546   43.885
2011.8817   44.402
2011.9089   52.858
2011.9360   53.230
2011.9631   49.491
2011.9903   48.917
2012.0174   52.218
2012.0446   52.830
2012.0717   57.621
2012.0989   56.729
2012.1260   55.610
2012.1532   51.437
2012.1803   47.644
2012.2075   52.460
2012.2346   58.569
2012.2618   55.433
2012.2889   53.742
2012.3161   52.022
2012.3432   51.481
2012.3704   55.351
2012.3975   55.965
2012.4247   57.505
2012.4518   60.105
2012.4790   53.691
2012.5061   54.763
2012.5333   61.523
2012.5604   64.028
2012.5876   62.152
2012.6147   60.067
2012.6419   52.440
2012.6690   56.456
2012.6961   57.824
2012.7233   64.698
2012.7504   63.328
2012.7776   60.217
2012.8047   56.444
2012.8319   57.525
2012.8590   59.318
2012.8862   63.006
2012.9133   63.669
2012.9405   61.746
2012.9676   58.504
2012.9948   61.747
2013.0219   61.889
2013.0491   64.321
2013.0762   63.984
2013.1034   61.167
2013.1305   58.161
2013.1577   57.881
2013.1848   63.789
2013.2120   66.444
2013.2663   59.101
2013.2934   55.347
2013.3206   58.031
2013.3477   61.661
2013.3749   61.204
2013.4020   58.914
2013.4291   57.773
2013.4563   54.929
2013.4834   58.137
2013.5106   60.037
2013.5377   61.383
2013.5649   62.414
2013.5920   59.185
2013.6192   52.117
2013.6463   55.342
2013.6735   60.026
2013.7278   60.224
2013.7549   55.307
2013.7821   54.657
2013.8092   61.335
2013.8364   61.503
2013.8635   62.432
2013.8907   63.435
2013.9178   60.160
2013.9450   54.927
2013.9721   58.974
2013.9993   62.804
2014.0264   64.102
2014.0536   62.125
2014.0807   57.643
2014.1079   60.502
2014.1350   63.246
2014.1621   66.032
2014.1893   67.625
2014.2164   62.877
2014.2436   60.226
2014.2707   59.537
2014.2979   61.906
2014.3250   62.087
2014.3522   61.978
2014.3793   60.466
2014.4065   60.794
2014.4336   59.102
2014.4608   60.625
2014.4879   68.003
2014.5151   67.494
2014.5422   65.445
2014.5694   60.460
2014.5965   61.535
2014.6237   66.421
2014.6508   70.177
2014.6780   67.697
2014.7051   65.864
2014.7323   58.023
2014.7594   60.736
2014.7866   67.344
2014.8137   68.780
2014.8409   65.301
2014.8680   65.015
2014.8951   59.381
2014.9223   61.591
2014.9494   70.723
2014.9766   70.522
2015.0037   66.662
2015.0309   64.804
2015.0580   62.115
2015.0852   68.589
2015.1123   69.745
2015.1395   75.007
